Volume,Deflection_Pct,Monthly_Cost_M,Annual_Saving_M,ROI_Pct
80000,40.0,2.526,17.645,392.1
80000,45.0,2.342,19.85,441.1
80000,50.0,2.158,22.056,490.1
80000,55.0,1.974,24.262,539.1
80000,60.0,1.79,26.467,588.2
80000,65.0,1.607,28.673,637.2
80000,70.0,1.423,30.878,686.2
80000,75.0,1.239,33.084,735.2
80000,80.0,1.055,35.29,784.2
80000,85.0,0.871,37.495,833.2
80000,90.0,0.688,39.701,882.2
100000,40.0,3.157,22.056,490.1
100000,45.0,2.927,24.813,551.4
100000,50.0,2.697,27.57,612.7
100000,55.0,2.468,30.327,673.9
100000,60.0,2.238,33.084,735.2
100000,65.0,2.008,35.841,796.5
100000,70.0,1.779,38.598,857.7
100000,75.0,1.549,41.355,919.0
100000,80.0,1.319,44.112,980.3
100000,85.0,1.089,46.869,1041.5
100000,90.0,0.859,49.626,1102.8
125000,40.0,3.946,27.57,612.7
125000,45.0,3.659,31.016,689.2
125000,50.0,3.372,34.462,765.8
125000,55.0,3.085,37.909,842.4
125000,60.0,2.798,41.355,919.0
125000,65.0,2.51,44.801,995.6
125000,70.0,2.223,48.247,1072.2
125000,75.0,1.936,51.694,1148.8
125000,80.0,1.649,55.14,1225.3
125000,85.0,1.362,58.586,1301.9
125000,90.0,1.074,62.032,1378.5
150000,40.0,4.736,33.084,735.2
150000,45.0,4.391,37.219,827.1
150000,50.0,4.046,41.355,919.0
150000,55.0,3.702,45.491,1010.9
150000,60.0,3.357,49.626,1102.8
150000,65.0,3.012,53.761,1194.7
150000,70.0,2.668,57.897,1286.6
150000,75.0,2.323,62.032,1378.5
150000,80.0,1.978,66.168,1470.4
150000,85.0,1.634,70.303,1562.3
150000,90.0,1.289,74.439,1654.2
175000,40.0,5.525,38.598,857.7
175000,45.0,5.123,43.423,964.9
175000,50.0,4.721,48.248,1072.2
175000,55.0,4.319,53.072,1179.4
175000,60.0,3.917,57.897,1286.6
175000,65.0,3.514,62.722,1393.8
175000,70.0,3.112,67.546,1501.0
175000,75.0,2.71,72.371,1608.2
175000,80.0,2.308,77.196,1715.5
175000,85.0,1.906,82.021,1822.7
175000,90.0,1.504,86.846,1929.9
